epoch,f1,loss,lr,val_f1,val_loss
0,0.7441924126247255,4.0895370680234855,0.001,0.9979855238673199,0.7320269176280163
1,1.0249904955855007,0.46278431275530874,0.001,1.0223088283615418,0.3004560991224036
2,1.0107656022489684,0.23077106529737806,0.001,1.013938661081245,0.18848388321907167
3,1.0136689848535665,0.19206826923254505,0.001,1.0560199668608516,0.16351852156072255
4,1.0503992524302501,0.16246894345372956,0.001,1.044383451641803,0.14514981886469216
5,1.0416544371814054,0.1460880740858072,0.001,1.0507773362010357,0.13343233151368827
6,1.0265389225641603,0.13894350615768042,0.001,1.055269540553112,0.13010648407610545
7,1.0270518097509067,0.1374620870654207,0.001,1.0263910762756225,0.12720352554895792
8,1.0273165513277587,0.13715084706395267,0.001,1.026640368273938,0.12695320345551134
9,1.0232789919492442,0.13204865782867323,0.001,1.0205385091314354,0.11163946842572775
10,1.0239199346173495,0.10737848084531441,0.001,1.025662311109673,0.0959857501179339
11,1.0189438509909157,0.09599189121357668,0.001,1.0199671758705353,0.0902239177600447
12,1.013276797844502,0.09361145611105352,0.001,1.0205398783626327,0.09296282018762994
13,1.0129814728289217,0.09075912286815711,0.001,1.0157555202882453,0.08747106090367558
14,1.0130639278020854,0.0900015518944436,0.001,1.0106797242260361,0.08478137174523978
15,1.0034624692210665,0.07330543348543236,0.001,1.0016628470286786,0.06653498017404931
16,1.0018082829978434,0.0677400306299788,0.001,1.0012270504212284,0.06623047285051231
17,1.0014093057445885,0.06650881291886641,0.001,1.0020082360769371,0.06755315739826026
18,1.0027623568437312,0.06582932916102584,0.001,1.0041179360156078,0.06448124331164073
19,1.0023432563276575,0.06524439642888832,0.001,1.001923087131546,0.06333966463445181
