epoch,f1,loss,lr,val_f1,val_loss
0,0.0,6.694870174632353,0.001,0.0,6.483784103393555
1,0.0,6.336177472507252,0.001,0.0,6.163366222381592
2,0.0,5.980059820062974,0.001,0.0,5.774197101593018
3,0.0,5.597137142630184,0.001,0.0,5.404364681243896
4,0.0,5.229384753283332,0.001,0.0,5.030110836029053
5,0.0,4.8423261137569655,0.001,0.0,4.63013858795166
6,0.0,4.439676419426413,0.001,0.0,4.222066879272461
7,0.0,4.031947887645048,0.001,0.0,3.8147000312805175
8,0.0,3.6258797337027158,0.001,0.0,3.4122292041778564
9,0.0,3.2267701569725484,0.001,0.0,3.021338176727295
10,0.0,2.842804294473985,0.001,0.0,2.6501325607299804
11,0.0,2.48389349825242,0.001,0.0,2.310113620758057
12,0.0,2.160973745233872,0.001,0.0,2.020758104324341
13,0.6319327796206755,1.8940452463486614,0.001,1.600000023841858,1.7902637481689454
14,1.7478991564582376,1.6824190476361442,0.001,1.8571428537368775,1.612845253944397
15,2.2789916094611673,1.5172044978422277,0.001,2.399999976158142,1.4746752500534057
16,2.608403351727654,1.3822111830991857,0.001,2.7714284896850585,1.363304567337036
17,3.0016807023216696,1.2714572611977073,0.001,2.9428570747375487,1.2728430032730103
18,3.035294069963343,1.180938099412357,0.001,2.9714285850524904,1.200209641456604
19,3.0588235770954806,1.1037029168185066,0.001,2.8571428775787355,1.1410996437072753
