epoch,f1,loss,lr,val_f1,val_loss
0,0.0,5.957014874851002,0.001,0.0,5.200559329986572
1,0.0,4.578401649699492,0.001,0.0,3.7576711654663084
2,0.0,3.149520927317002,0.001,0.0,2.367812252044678
3,0.6218487416996675,1.9327433277578916,0.001,1.8857142925262451,1.4204865455627442
4,2.329411761900958,1.237889795443591,0.001,2.399999976158142,0.9926069259643555
5,1.8932040298686308,0.912272017142352,0.001,1.4923076152801513,0.742550539970398
6,1.409954711970161,0.680095990265117,0.001,1.0615383863449097,0.5510917663574219
7,1.1518824759651634,0.5099224206279306,0.001,1.0615383863449097,0.4229976058006287
8,1.0357669381534351,0.39109517651445724,0.001,1.0,0.339818012714386
9,1.0033613317153034,0.31525248639723835,0.001,1.0,0.29517827928066254
10,1.0016806658576516,0.27142412723863824,0.001,1.0,0.27648288011550903
11,1.0016806658576516,0.24146564059397754,0.001,1.0,0.2634570300579071
12,1.0,0.23077054580344875,0.001,1.0,0.2596511036157608
13,1.0,0.2236716655685621,0.001,1.0,0.2537630289793015
14,1.0,0.21580153988564715,0.001,1.0,0.2465798795223236
15,1.0016806658576516,0.21283195925986065,0.001,1.0,0.24736065566539764
16,1.0,0.209241610896938,0.001,1.0,0.22202367782592775
17,1.0033613429350012,0.19851304099840275,0.001,1.0370370388031005,0.18946630358695984
18,1.0067226802601534,0.1798883576603497,0.001,1.0142857074737548,0.17719022929668427
19,1.0067226634306066,0.19632616910864326,0.001,1.0,0.18767921030521392
